ID_Stock;Date;Close_Price;Price_Return
755.0;2015-07-17;81.26;-0.6359
758.0;2015-07-17;113.898;-0.8645
759.0;2015-07-17;138.7816;-0.0142
761.0;2015-07-17;30.6246;-0.6827
762.0;2015-07-17;35.18;-2.5484999999999998
763.0;2015-07-17;59.8603;-0.753
764.0;2015-07-17;54.8811;0.7115
765.0;2015-07-17;77.6619;-0.1821
766.0;2015-07-17;42.6862;-0.2322
767.0;2015-07-17;65.02;0.1078
768.0;2015-07-17;37.6224;-0.5018
770.0;2015-07-17;134.17;0.2016
771.0;2015-07-17;53.817;-1.6346
773.0;2015-07-17;49.7516;-1.3526
774.0;2015-07-17;68.2892;0.4393
775.0;2015-07-17;62.2155;-0.9366
776.0;2015-07-17;87.616;1.0695000000000001
777.0;2015-07-17;40.3697;-1.1565
780.0;2015-07-17;64.7206;-0.596
781.0;2015-07-17;83.869;-0.3538
783.0;2015-07-17;43.2886;-0.5313
784.0;2015-07-17;130.88;0.0688
786.0;2015-07-17;48.37;-0.3954
787.0;2015-07-17;51.2231;-0.3406
789.0;2015-07-17;67.0651;0.0507
790.0;2015-07-17;15.8649;-0.3633
791.0;2015-07-17;45.980199999999996;-0.9146
792.0;2015-07-17;24.8382;-1.5504
793.0;2015-07-17;144.687;-0.7529
794.0;2015-07-17;40.1841;-0.7628
795.0;2015-07-17;41.3116;-0.5003
800.0;2015-07-17;32.5572;0.1386
801.0;2015-07-17;91.0432;-2.0135
803.0;2015-07-17;28.656;-1.2309
804.0;2015-07-17;38.175;0.8988
805.0;2015-07-17;33.3004;-0.583
806.0;2015-07-17;23.5288;2.0735
807.0;2015-07-17;57.43;-0.4193
808.0;2015-07-17;102.9474;-0.2505
809.0;2015-07-17;27.3024;-3.4581
810.0;2015-07-17;46.0572;-0.4167
811.0;2015-07-17;40.52;-1.7697
